"name","url","address","fee","LocName","fX","fY","iConf","iLvl"
ANNEX池之端,https://www.homes.co.jp/chintai/room/5b4f60c71c74516a2fa2118f5c6fe569f413d57b/,東京都文京区湯島4丁目12-3,11.2,"東京都/文京区/湯島/四丁目/１２番","139.76721","35.71136","5","7"
Hmlet　千石,https://www.homes.co.jp/chintai/room/1a00c857e37d1162e6cf250861ffe631c3c2de69/,東京都文京区千石4丁目39-8,12,"東京都/文京区/千石/四丁目/３９番","139.74284","35.72832","5","7"
ＣｏＣｏ　Ｒｉｒｅ,https://www.homes.co.jp/chintai/room/08ccc472659746ae34f96238dca895684d18c9a3/,東京都文京区千駄木2丁目,11.7,"東京都/文京区/千駄木/二丁目","139.76187","35.72290","5","6"
プレセダンヒルズ文京本駒込,https://www.homes.co.jp/chintai/room/497e6ba466ecc6cedffbcd47866a42dc742426ae/,東京都文京区本駒込3丁目,14.7,"東京都/文京区/本駒込/三丁目","139.75444","35.72775","5","6"
東京メトロ有楽町線 江戸川橋駅 徒歩8分,https://www.homes.co.jp/chintai/room/e1f208cc04971362d5e7e73edd2dfe3270900d3f/,東京都文京区水道2丁目,10.7,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
プレミアムキューブ文京江戸川橋,https://www.homes.co.jp/chintai/room/ed39fde0453b942cff91f759da6bcaf3b4c9575e/,東京都文京区水道2丁目15-6,11,"東京都/文京区/水道/二丁目/１５番","139.73680","35.71029","5","7"
GRAN PASEO白山,https://www.homes.co.jp/chintai/room/ff8538fdbb820002fab172d44ff776bee174a95f/,東京都文京区白山2丁目23-9,19.1,"東京都/文京区/白山/二丁目/２３番","139.75040","35.71695","5","7"
サニーレター弥生,https://www.homes.co.jp/chintai/room/238c950a8fa30bbad1de5ffdd29a44b790014cee/,東京都文京区弥生2丁目,8.9,"東京都/文京区/弥生/二丁目","139.76401","35.71615","5","6"
東京メトロ丸ノ内線 新大塚駅 徒歩4分,https://www.homes.co.jp/chintai/room/69b46e755591fc2426a10f549ea09e3cfb0b2dbb/,東京都文京区大塚5丁目,8.3,"東京都/文京区/大塚/五丁目","139.72729","35.72279","5","6"
モデリアデイズ護国寺,https://www.homes.co.jp/chintai/room/0a3de9b63756a5dbbdce190e5c6e91d13fe00ae0/,東京都文京区音羽2丁目,8.6,"東京都/文京区/音羽/二丁目","139.72768","35.71854","5","6"
文京大塚テラス,https://www.homes.co.jp/chintai/room/dfd1674fec8de3c17213bebe9e2342f34c7e86cc/,東京都文京区大塚4丁目17-7,14,"東京都/文京区/大塚/四丁目/１７番","139.73431","35.72381","5","7"
アビトア千石,https://www.homes.co.jp/chintai/room/d806157bff67485e805e3bc5e8e4fb7a9ca4a479/,東京都文京区千石3丁目10-11,11.5,"東京都/文京区/千石/三丁目/１０番","139.73708","35.72522","5","7"
ガーデンビレッジ小石川,https://www.homes.co.jp/chintai/room/029878a81122dc066f967a9f563f485d7b2b05cc/,東京都文京区小石川5丁目19-31,11.5,"東京都/文京区/小石川/五丁目/１９番","139.73862","35.71922","5","7"
Ｂｒａｎｃｈｅ文京千石,https://www.homes.co.jp/chintai/room/b8af742492cb84dbaba23f73dc0b7beaeeadbfab/,東京都文京区千石4丁目39-13,9.3,"東京都/文京区/千石/四丁目/３９番","139.74284","35.72832","5","7"
ブラボーシマ,https://www.homes.co.jp/chintai/room/91704e07127a2203d98dd4e647faff9ca0efbb65/,東京都文京区大塚6丁目9-4,7.9,"東京都/文京区/大塚/六丁目/９番","139.72627","35.72601","5","7"
東京メトロ千代田線 根津駅 徒歩3分,https://www.homes.co.jp/chintai/room/20e18dce8c4ac64a2179d065e361bf38a88e8e6e/,東京都文京区弥生2丁目,8.9,"東京都/文京区/弥生/二丁目","139.76401","35.71615","5","6"
ALERO Bunkyo-Hakusan,https://www.homes.co.jp/chintai/room/c2b3900fd8fb459453392e77b932be90cadc32c5/,東京都文京区白山4丁目,9,"東京都/文京区/白山/四丁目","139.74638","35.72160","5","6"
アイルプレミアム千駄木,https://www.homes.co.jp/chintai/room/99f50d2b0fa68cdd91c684a5ab4dba94479f5018/,東京都文京区千駄木4丁目,8.8,"東京都/文京区/千駄木/四丁目","139.76001","35.73095","5","6"
東京メトロ丸ノ内線 御茶ノ水駅 徒歩10分,https://www.homes.co.jp/chintai/room/655061c6ba694ec430555c50f4f697eb93013897/,東京都文京区本郷2丁目17-16,21,"東京都/文京区/本郷/二丁目/１７番","139.75851","35.70454","5","7"
ＪｕｒｏＡｉ千駄木,https://www.homes.co.jp/chintai/room/cec2e29858d6257ea918257b027f6b2ce8640fa9/,東京都文京区千駄木1丁目,8.4,"東京都/文京区/千駄木/一丁目","139.75899","35.72275","5","6"
都営三田線 白山駅 徒歩7分,"",東京都文京区白山2丁目,11.8,"東京都/文京区/白山/二丁目","139.74832","35.71738","5","6"
Blanc文京本駒込,"",東京都文京区本駒込5丁目7-10,7.9,"東京都/文京区/本駒込/五丁目/７番","139.75134","35.73107","5","7"
東京メトロ有楽町線 江戸川橋駅 徒歩5分,"",東京都文京区水道2丁目,9.9,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
S-RESIDENCE文京小石川,https://www.homes.co.jp/chintai/room/25d674ef20ce960f1f21967c11cbd289b6568e93/,東京都文京区小石川5丁目34-12,10.4,"東京都/文京区/小石川/五丁目/３４番","139.74100","35.71968","5","7"
東京メトロ有楽町線 江戸川橋駅 徒歩5分,https://www.homes.co.jp/chintai/room/4dc9b6fed00882e32d7f5d0cc6d8d30040f4b86f/,東京都文京区音羽1丁目,8.3,"東京都/文京区/音羽/一丁目","139.73021","35.71392","5","6"
エルスタンザ文京千駄木,https://www.homes.co.jp/chintai/room/edfcde69f65f7e02dd7289c8f96e22be6359ddb8/,東京都文京区千駄木3丁目,11.6,"東京都/文京区/千駄木/三丁目","139.76254","35.72778","5","6"
東京メトロ丸ノ内線 茗荷谷駅 徒歩1分,https://www.homes.co.jp/chintai/room/98ad862ab53fe96b8677cce32f460a79448c769c/,東京都文京区小日向4丁目,11.9,"東京都/文京区/小日向/四丁目","139.73840","35.71552","5","6"
中尾メゾン,https://www.homes.co.jp/chintai/room/8649738f5f6980aced45b3f4f12c8e20f88bc554/,東京都文京区大塚4丁目,8.6,"東京都/文京区/大塚/四丁目","139.73383","35.72386","5","6"
ベラヴィスタ千石,https://www.homes.co.jp/chintai/room/a919735047454cb61ffffbb83af49985ab89850a/,東京都文京区千石3丁目28-15,9.7,"東京都/文京区/千石/三丁目/２８番","139.73634","35.72964","5","7"
都営三田線 千石駅 徒歩2分,https://www.homes.co.jp/chintai/room/e663d13e47f98fdc25b5bebbf531cc69324213d0/,東京都文京区千石4丁目39-13,9.3,"東京都/文京区/千石/四丁目/３９番","139.74284","35.72832","5","7"
ＪＲ山手線 田端駅 徒歩10分,https://www.homes.co.jp/chintai/room/5fbd758cf048fc74d5cf3e7db4cfff11b49ccb07/,東京都文京区千駄木4丁目,8.8,"東京都/文京区/千駄木/四丁目","139.76001","35.73095","5","6"
都営三田線 白山駅 徒歩7分,https://www.homes.co.jp/chintai/room/06e6a27bf17ad5eac934b20cdc646f32bf76d71f/,東京都文京区白山4丁目36-5,9,"東京都/文京区/白山/四丁目/３６番","139.74788","35.72227","5","7"
LEGALAND SENGOKU Cross ～リーガランド千石クロス～,https://www.homes.co.jp/chintai/room/55f55148a99a6829997e17c09f8063e4a1c1fdaf/,東京都文京区千石2丁目30-25,9.3,"東京都/文京区/千石/二丁目/３０番","139.74162","35.72538","5","7"
東京メトロ千代田線 千駄木駅 徒歩5分,https://www.homes.co.jp/chintai/room/6c62bf30994e4c7a9d220d705867dd980a36fe8b/,東京都文京区千駄木3丁目,11.6,"東京都/文京区/千駄木/三丁目","139.76254","35.72778","5","6"
クレヴィア本郷春日ステーションフロント,https://www.homes.co.jp/chintai/room/2cf6f611b9d3c4cb28172872f431cd99a967ba52/,東京都文京区本郷4丁目25-8,13.4,"東京都/文京区/本郷/四丁目/２５番","139.75334","35.71107","5","7"
クオーレ千駄木,https://www.homes.co.jp/chintai/room/6ac6f7b92e7367d9a0da780931c3dc5738d691e2/,東京都文京区千駄木2丁目15-10,8.8,"東京都/文京区/千駄木/二丁目/１５番","139.76193","35.72331","5","7"
フローラ小石川,https://www.homes.co.jp/chintai/room/41848234c0649e92b63796ccc08a32f81bb4dfeb/,東京都文京区小石川3丁目,12.5,"東京都/文京区/小石川/三丁目","139.74786","35.71313","5","6"
ＪＲ山手線 巣鴨駅 徒歩6分,https://www.homes.co.jp/chintai/room/254f74ae6eef16bb191ee90a93d74a38b2715ed1/,東京都文京区千石3丁目28-15,9.6,"東京都/文京区/千石/三丁目/２８番","139.73634","35.72964","5","7"
ハーモニーレジデンス神楽坂,https://www.homes.co.jp/chintai/room/506edc5fc76632dd69f939c4c2d304743d9b5fd3/,東京都文京区水道2丁目,9.2,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
ANNEX池之端,https://www.homes.co.jp/chintai/room/0fdf315d6a5b74057b745f6e1ba135db57888e1b/,東京都文京区湯島4丁目12-3,11.2,"東京都/文京区/湯島/四丁目/１２番","139.76721","35.71136","5","7"
SKY Hills HAKUSAN,https://www.homes.co.jp/chintai/room/6f311c2b785abe8ec5c9061d2bb8617b9f27e32c/,東京都文京区白山2丁目2-15,8.9,"東京都/文京区/白山/二丁目/２番","139.75058","35.71558","5","7"
ジオエント本郷,"",東京都文京区本郷2丁目17-16,21,"東京都/文京区/本郷/二丁目/１７番","139.75851","35.70454","5","7"
ライブフラット文京大塚,"",東京都文京区大塚4丁目3-4,22.6,"東京都/文京区/大塚/四丁目/３番","139.73584","35.72448","5","7"
アビトア千石,https://www.homes.co.jp/chintai/room/0ad2a484ef7a046f71b039423ad22cfdccf21e75/,東京都文京区千石3丁目10-11,11.5,"東京都/文京区/千石/三丁目/１０番","139.73708","35.72522","5","7"
プランドール文京本駒込,https://www.homes.co.jp/chintai/room/6ae40faf670e16e5fff832babd95c4e421d57590/,東京都文京区白山5丁目,13.5,"東京都/文京区/白山/五丁目","139.74956","35.72349","5","6"
小石川フィエルテ,https://www.homes.co.jp/chintai/room/3735f98dca9809e00b7b71b64fda2f38e61c0cac/,東京都文京区小石川5丁目,9.9,"東京都/文京区/小石川/五丁目","139.73993","35.71806","5","6"
小石川テラス,https://www.homes.co.jp/chintai/room/1bfac787263982e32e1c708a46be1a7314c0766c/,東京都文京区小石川5丁目,9.8,"東京都/文京区/小石川/五丁目","139.73993","35.71806","5","6"
クーカイテラス茗荷谷,https://www.homes.co.jp/chintai/room/249c2502a5e861ac764b1874b70183ce7458e69f/,東京都文京区小日向4丁目7-5,11.9,"東京都/文京区/小日向/四丁目/７番","139.73662","35.71698","5","7"
ＬＯＶＩＥ文京音羽,https://www.homes.co.jp/chintai/room/2262b26270a9259d8f14f353b458e1a954c61bb1/,東京都文京区音羽1丁目,11.1,"東京都/文京区/音羽/一丁目","139.73021","35.71392","5","6"
LEXE文京白山,https://www.homes.co.jp/chintai/room/6dfde64f2b37c5abc154f3e587018b35c0ad2a28/,東京都文京区白山2丁目,17.5,"東京都/文京区/白山/二丁目","139.74832","35.71738","5","6"
ＪＲ総武線 御茶ノ水駅 徒歩8分,https://www.homes.co.jp/chintai/room/1e8a150a60568102cfd6b090c7eac761ee04c19d/,東京都文京区湯島3丁目,21.5,"東京都/文京区/湯島/三丁目","139.76886","35.70579","5","6"
ALERO　Yushima　South～アレーロ　ユシマ　サウス～,https://www.homes.co.jp/chintai/room/869e904ddbc88872392af4d5fa34dd9244fcca97/,東京都文京区湯島4丁目12-6,10.3,"東京都/文京区/湯島/四丁目/１２番","139.76721","35.71136","5","7"
中尾メゾン,https://www.homes.co.jp/chintai/room/e444091ea8f2a19e05e327a7b576035b9175a53e/,東京都文京区大塚4丁目28-8,8.6,"東京都/文京区/大塚/四丁目/２８番","139.73367","35.72373","5","7"
ＹｔｏＮ,https://www.homes.co.jp/chintai/room/aec370689d9d40780e993af0b63ab4f462897a64/,東京都文京区小石川5丁目23-4,9.5,"東京都/文京区/小石川/五丁目/２３番","139.74095","35.71791","5","7"
東京メトロ丸ノ内線 御茶ノ水駅 徒歩9分,https://www.homes.co.jp/chintai/room/77618ce481bc3e3585452e62f69dd7793c2d735e/,東京都文京区本郷3丁目16-7,14.8,"東京都/文京区/本郷/三丁目/１６番","139.76123","35.70531","5","7"
アレーロ湯島サウス,https://www.homes.co.jp/chintai/room/9ca321563bd4e9754ebabfcf494203b3c2a862d4/,東京都文京区湯島4丁目12-6,10.2,"東京都/文京区/湯島/四丁目/１２番","139.76721","35.71136","5","7"
都営三田線 千石駅 徒歩6分,https://www.homes.co.jp/chintai/room/c36bb616741654b32bfd30e64dc6936d4daeb2ae/,東京都文京区千石2丁目,9.3,"東京都/文京区/千石/二丁目","139.74052","35.72370","5","6"
東京メトロ丸ノ内線 新大塚駅 徒歩8分,https://www.homes.co.jp/chintai/room/5fe82b3ed3f3c0f4682517c924574b6012fcf929/,東京都文京区大塚4丁目,22.6,"東京都/文京区/大塚/四丁目","139.73383","35.72386","5","6"
エクセルシオール本駒込,https://www.homes.co.jp/chintai/room/cd8bf0ea1d5cd7757f41f7555da4d76df5d6e1b8/,東京都文京区本駒込5丁目,10.4,"東京都/文京区/本駒込/五丁目","139.75165","35.73280","5","6"
都営三田線 千石駅 徒歩6分,"",東京都文京区千石2丁目,9.3,"東京都/文京区/千石/二丁目","139.74052","35.72370","5","6"
クリエシェンテ御茶ノ水,"",東京都文京区湯島3丁目,11.6,"東京都/文京区/湯島/三丁目","139.76886","35.70579","5","6"
都営三田線 千石駅 徒歩2分,"",東京都文京区白山5丁目,13.5,"東京都/文京区/白山/五丁目","139.74956","35.72349","5","6"
東京メトロ南北線 駒込駅 徒歩11分,"",東京都文京区本駒込5丁目,7.9,"東京都/文京区/本駒込/五丁目","139.75165","35.73280","5","6"
モダンアパートメント文京音羽,https://www.homes.co.jp/chintai/room/f040424cefa7135bf6e04b74307fb9487d869571/,東京都文京区音羽1丁目,8.8,"東京都/文京区/音羽/一丁目","139.73021","35.71392","5","6"
東京メトロ丸ノ内線 茗荷谷駅 徒歩7分,https://www.homes.co.jp/chintai/room/b0c3b55dc594f6ae997c13c4539c044fba6b0ac8/,東京都文京区小石川5丁目,9.8,"東京都/文京区/小石川/五丁目","139.73993","35.71806","5","6"
東京メトロ丸ノ内線 新大塚駅 徒歩10分,https://www.homes.co.jp/chintai/room/ff76b02a441bcd429119211cacd43b63632bd8f6/,東京都文京区千石3丁目10-11,11.3,"東京都/文京区/千石/三丁目/１０番","139.73708","35.72522","5","7"
東京メトロ丸ノ内線 茗荷谷駅 徒歩5分,https://www.homes.co.jp/chintai/room/76135a65e77b2a490a92d14ab2a2b1ac730811b8/,東京都文京区小石川5丁目,11.5,"東京都/文京区/小石川/五丁目","139.73993","35.71806","5","6"
